outcome,backers,category_name,country_name,count(*)
failed,1,Food,ES,1
failed,1,Food,FR,2
failed,1,Food,GB,7
failed,1,Food,IT,3
failed,1,Food,NL,2
failed,1,Food,SE,3
failed,1,Food,US,63
failed,1,Games,AU,3
failed,1,Games,CA,4
failed,1,Games,DE,3
failed,1,Games,ES,1
failed,1,Games,FR,2
failed,1,Games,GB,5
failed,1,Games,IT,1
failed,1,Games,NL,2
failed,1,Games,NZ,1
failed,1,Games,US,34
failed,1,Journalism,GB,2
failed,1,Journalism,US,12
failed,1,Music,AU,3
failed,1,Music,CA,9
failed,1,Music,DE,2
failed,1,Music,DK,2
failed,1,Music,ES,1
failed,1,Music,FR,1
failed,1,Music,GB,8
failed,1,Music,IT,3
failed,1,Music,MX,1
failed,1,Music,SE,1
failed,1,Music,US,122
failed,1,Photography,CA,2
failed,1,Photography,DE,2
failed,1,Photography,GB,5
failed,1,Photography,IT,1
failed,1,Photography,US,26
failed,1,Publishing,AU,2
failed,1,Publishing,CA,7
failed,1,Publishing,DE,1
failed,1,Publishing,GB,10
failed,1,Publishing,NL,3
failed,1,Publishing,NZ,2
failed,1,Publishing,SE,2
failed,1,Publishing,US,116
failed,1,Technology,AU,5
failed,1,Technology,CA,9
failed,1,Technology,CH,2
failed,1,Technology,DE,3
failed,1,Technology,ES,1
failed,1,Technology,FR,1
failed,1,Technology,GB,16
failed,1,Technology,IT,3
failed,1,Technology,MX,2
failed,1,Technology,NL,3
failed,1,Technology,NO,1
failed,1,Technology,SE,2
failed,1,Technology,SG,2
failed,1,Technology,US,85
failed,1,Theater,AU,1
failed,1,Theater,GB,5
failed,1,Theater,US,15
live,1,Design,DE,1
live,1,Design,US,1
live,1,Fashion,US,2
live,1,"Film & Video",US,2
live,1,Games,MX,1
live,1,Games,US,1
live,1,Music,US,1
live,1,Publishing,CA,1
live,1,Publishing,US,1
live,1,Technology,CA,1
live,1,Technology,GB,1
live,1,Technology,US,1
successful,1,Art,AU,1
successful,1,Art,US,2
successful,1,"Film & Video",US,2
successful,1,Food,US,1
successful,1,Games,GB,1
successful,1,Games,US,1
successful,1,Music,US,1
successful,1,Photography,AU,1
successful,1,Photography,US,2
successful,1,Theater,GB,1
suspended,1,Art,US,1
suspended,1,Design,US,1
suspended,1,Fashion,US,1
suspended,1,Food,US,1
suspended,1,Games,US,1
suspended,1,Publishing,US,1
canceled,2,Art,AT,1
canceled,2,Art,US,6
canceled,2,Comics,AU,1
canceled,2,Comics,FR,1
canceled,2,Comics,GB,1
canceled,2,Design,AU,1
