outcome,campaign_length_in_days,category_name,sub_category_name,total
failed,30,"Film & Video",Comedy,13
failed,30,"Film & Video",Documentary,136
failed,30,"Film & Video",Drama,17
failed,30,"Film & Video",Family,3
failed,30,"Film & Video","Film & Video",74
failed,30,"Film & Video",Horror,9
failed,30,"Film & Video","Movie Theaters",1
failed,30,"Film & Video","Music Videos",6
failed,30,"Film & Video","Narrative Film",28
failed,30,"Film & Video","Science Fiction",6
failed,30,"Film & Video",Shorts,63
failed,30,"Film & Video",Television,11
failed,30,"Film & Video",Thrillers,5
failed,30,"Film & Video",Webseries,71
failed,30,Food,Bacon,2
failed,30,Food,"Community Gardens",2
failed,30,Food,Cookbooks,5
failed,30,Food,Drinks,22
failed,30,Food,Events,6
failed,30,Food,"Farmer's Markets",6
failed,30,Food,Farms,21
failed,30,Food,Food,116
failed,30,Food,"Food Trucks",25
failed,30,Food,Restaurants,28
failed,30,Food,"Small Batch",16
failed,30,Food,Spaces,6
failed,30,Food,Vegan,3
failed,30,Games,Games,27
failed,30,Games,"Gaming Hardware",3
failed,30,Games,"Live Games",7
failed,30,Games,"Mobile Games",15
failed,30,Games,"Playing Cards",24
failed,30,Games,"Tabletop Games",59
failed,30,Games,"Video Games",96
failed,30,Journalism,Audio,3
failed,30,Journalism,Journalism,8
failed,30,Journalism,Photo,2
failed,30,Journalism,Print,8
failed,30,Journalism,Video,3
failed,30,Music,Music,3
failed,30,Music,Blues,2
failed,30,Music,"Classical Music",5
failed,30,Music,"Country & Folk",22
failed,30,Music,"Electronic Music",16
failed,30,Music,Faith,7
failed,30,Music,Hip-Hop,50
failed,30,Music,"Indie Rock",29
failed,30,Music,Jazz,7
failed,30,Music,Kids,1
failed,30,Music,Latin,2
failed,30,Music,Metal,5
failed,30,Music,Music,85
failed,30,Music,Pop,31
failed,30,Music,Punk,7
failed,30,Music,R&B,7
failed,30,Music,Rock,34
failed,30,Music,"World Music",7
failed,30,Photography,Animals,1
failed,30,Photography,"Fine Art",4
failed,30,Photography,Nature,3
failed,30,Photography,People,9
failed,30,Photography,Photobooks,7
failed,30,Photography,Photography,43
failed,30,Photography,Places,5
failed,30,Publishing,Academic,12
failed,30,Publishing,"Art Books",16
